sim_id,dataset_id,estimator,description,correct_models,tau_hat,true_att
1,1,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05887904667300218,-0.050997063355465264
1,2,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.04865416351046775,-0.050997063355465264
1,3,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05216636235350142,-0.050997063355465264
1,4,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05157631540147863,-0.050997063355465264
1,5,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.050227765524520546,-0.050997063355465264
1,6,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05299394966097147,-0.050997063355465264
1,7,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.04949197395773455,-0.050997063355465264
1,8,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.049412975285956916,-0.050997063355465264
1,9,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05243302937602772,-0.050997063355465264
1,10,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.038173265987522124,-0.050997063355465264
1,11,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05400438541781921,-0.050997063355465264
1,12,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05809689637703801,-0.050997063355465264
1,13,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.0474717410048168,-0.050997063355465264
1,14,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.053447236407319736,-0.050997063355465264
1,15,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.04889788395940321,-0.050997063355465264
1,16,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.058375184821389384,-0.050997063355465264
1,17,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05453491056577523,-0.050997063355465264
1,18,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.05081987346580445,-0.050997063355465264
1,19,iwor_cc,Inverse Weighted Outcome Regression for ATT among eligible complete cases,eta/mu,-0.04899742694567812,-0.050997063355465264
